task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
cwritesh,41,"Writing short documents such as short reports, letters, or emails in an administrative setting.","LLMs excel at generating short documents, offering substantial time savings (E1), and integration with email and other platforms could further enhance efficiency (E2), while image processing is not relevant (E3).",0.1,0.5,0.4,0.0
cwritelg,41,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books in an administrative context.","LLMs can significantly assist in drafting and editing long documents (E1), but full automation is less likely due to the need for human oversight and fact-checking, especially in formal settings (E2), and image processing is not a factor (E3).",0.15,0.6,0.25,0.0
cread,41,"Reading written information such as forms, notices, or signs in the context of administrative and clerical duties.","Reading short, simple texts like forms and notices offers minimal potential for LLM-driven time savings as it's already a quick task.",0.9,0.05,0.05,0.0
cshort,41,"Reading short documents such as short reports, letters, or emails in the context of administrative and clerical duties.","LLMs can meaningfully assist with summarizing and key information extraction from short documents, but full comprehension is often still necessary.",0.5,0.3,0.2,0.0
clong,41,"Reading long documents such as long reports, manuals, articles, or books in the context of administrative and clerical duties.","LLMs excel at summarizing, extracting key information, and answering questions about long documents, offering substantial time savings.",0.2,0.4,0.4,0.0
canalyse,41,"Analyzing complex problems in depth in an administrative context, such as identifying trends in financial data or troubleshooting recurring process bottlenecks.","While some analysis requires human judgment (E0), LLMs can assist directly with data interpretation and pattern identification (E1), and specialized applications could automate reporting and trend analysis (E2).",0.2,0.3,0.5,0.0
cfaults,41,"Spotting problems or faults within administrative processes, such as discrepancies in financial records, errors in data entry, or delays in processing applications.","Some errors require human observation (E0), LLMs can assist with basic error detection (E1), but integrated systems with automated checks and alerts offer greater potential for time savings (E2).",0.3,0.2,0.5,0.0
ccause,41,"Working out the cause of problems or faults within administrative processes, such as identifying the source of data discrepancies or determining the reason for processing delays.","Determining root causes often requires human investigation (E0), LLMs can assist by correlating data and suggesting potential causes (E1), and integrated systems could automate root cause analysis for common issues (E2).",0.3,0.3,0.4,0.0
csolutn,41,"Thinking of solutions to problems within administrative processes, such as developing procedures to prevent data entry errors or streamlining workflows to reduce processing times.","While some solutions require human creativity (E0), LLMs can suggest solutions based on best practices and data analysis (E1), and integrated systems could automate the implementation of standard solutions (E2).",0.2,0.4,0.4,0.0
cspecial,41,"Utilizing specialized knowledge or understanding within administrative roles, such as financial regulations for a finance clerk or record-keeping procedures for a records clerk.","While some specialized knowledge tasks might remain largely unchanged (E0), LLMs can directly provide information access (E1), and integrated applications could further streamline workflows (E2), but image processing is irrelevant (E3).",0.2,0.4,0.4,0.0
cupto,41,"Staying current with new knowledge relevant to administrative roles, such as updated software procedures, regulatory changes, or best practices in office management.","LLMs excel at summarizing and delivering up-to-date information (E1), and integration with training platforms or knowledge bases could further enhance efficiency (E2), making E0 unlikely and E3 irrelevant.",0.05,0.6,0.35,0.0
cideas,41,"Developing new or improved work processes, products, or services within administrative contexts, such as streamlining filing systems, improving customer service protocols, or automating report generation.","While some ideation may remain unaffected (E0), LLMs can significantly assist in generating and refining ideas (E1), and integration with workflow tools could further automate implementation (E2), but image processing is not relevant (E3).",0.15,0.45,0.4,0.0
cstats,41,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While existing tools handle basic calculations, LLMs could streamline more complex procedures, especially when integrated with specialized software.",0.2,0.3,0.5,0.0
ccalca,41,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide highly efficient solutions for basic arithmetic, minimizing the potential impact of LLMs.",0.9,0.05,0.05,0.0
cpercent,41,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are already highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,41,"Carrying, pushing or pulling heavy objects","This task is entirely physical and LLMs offer no direct assistance in carrying, pushing, or pulling heavy objects.",1.0,0.0,0.0,0.0
cstamina,41,Working for long periods on physical activities,LLMs cannot directly impact physical stamina or endurance required for extended physical activity.,1.0,0.0,0.0,0.0
chands,41,"Mending, repairing, assembling, constructing or adjusting things","While LLMs could potentially provide instructions (E1), the physical nature of these tasks within administrative roles limits LLM impact, making E0 most likely.",0.9,0.1,0.0,0.0
ctools,41,"Knowledge of how to use or operate tools, equipment or machinery","LLMs can provide instructions or tutorials on tool usage (E1), and imaginable applications could offer interactive guides (E2), but the practical application still dominates, making E0 likely for many tools in this occupation.",0.6,0.3,0.1,0.0
cplanme,41,"Planning your own activities within an administrative role, such as scheduling tasks, prioritizing work, and managing deadlines.","While basic planning can be done with existing tools, LLMs can significantly enhance personal task management through intelligent scheduling and prioritization, especially with integration into calendar and task management applications.",0.2,0.3,0.5,0.0
cplanoth,41,"Planning the activities of others in an administrative context, such as delegating tasks, coordinating schedules, and managing team workflows.","LLMs can assist in optimizing team schedules and task allocation, but human oversight remains crucial for effective delegation and communication, making E2 most likely with integrated project management tools.",0.15,0.25,0.6,0.0
cmytime,41,"Organizing one's own time effectively within an administrative role, including prioritizing tasks, managing deadlines, and optimizing workflow.","LLMs can improve personal time management through smart scheduling and task prioritization, but existing tools already provide basic functionality, making E1 and E2 likely with further integration.",0.25,0.35,0.4,0.0
cahead,41,"Thinking ahead and anticipating future needs or potential challenges within an administrative role, such as forecasting resource requirements, identifying potential bottlenecks, and developing contingency plans.","While LLMs can assist in data analysis and trend identification, anticipating future needs often requires human judgment and experience, making E0 and E1/E2 equally likely depending on the specific task.",0.4,0.3,0.3,0.0
cimpl,41,"Developing plans to put new ideas into practice within an administrative role, such as creating implementation strategies, outlining action steps, and defining success metrics.","LLMs can significantly assist in developing and refining implementation plans by generating templates, outlining steps, and suggesting relevant resources, making E1 and E2 highly probable.",0.2,0.4,0.4,0.0
cmefeel,41,"Managing your own feelings in the context of administrative and clerical work, such as handling stress from deadlines, difficult clients, or workplace conflicts.","Managing one's own feelings is a deeply personal task where LLMs have limited applicability, though some nascent tools might offer minor support.",0.9,0.05,0.05,0.0
cothfeel,41,"Handling the feelings of other people, such as calming upset clients, mediating disputes between colleagues, or providing emotional support to team members, within the scope of administrative and clerical duties.","While human empathy remains crucial, LLMs can assist in crafting appropriate responses or suggesting de-escalation strategies, especially when integrated with communication tools.",0.6,0.2,0.2,0.0
clookprt,41,"Looking the part, meaning dressing professionally and maintaining a presentable appearance suitable for an office environment and client interactions in administrative roles.",Physical appearance is entirely outside the scope of LLM capabilities.,1.0,0.0,0.0,0.0
csoundprt,41,"Sounding the part, meaning speaking professionally, using appropriate language and tone, and conveying competence and confidence in interactions with colleagues, clients, and superiors in an administrative setting.","LLMs can significantly improve written and potentially spoken communication, offering suggestions for tone, clarity, and professional phrasing, especially when integrated with communication platforms.",0.2,0.4,0.4,0.0
cpeople,41,"Dealing with people in the context of administrative and clerical tasks, such as providing customer service, handling inquiries, and resolving issues.","While direct interaction requires human empathy (E0), LLMs can assist with information retrieval and drafting responses (E1), and integrated systems can automate routine tasks and improve customer service workflows (E2).",0.2,0.3,0.5,0.0
ccaring,41,"Counselling, advising, or caring for customers or clients within the scope of administrative roles, such as providing information on services, guiding them through processes, and offering basic support.","Empathy and complex problem-solving remain important (E0), but LLMs can provide information and suggest solutions (E1), and integrated systems can personalize guidance and automate routine aspects of care (E2).",0.3,0.3,0.4,0.0
cselling,41,"Selling a product or service in an administrative context, which may involve processing orders, answering product inquiries, and upselling/cross-selling related offerings.","LLMs can significantly assist in product information retrieval, generating sales scripts, and personalizing recommendations (E1), and integrated CRM systems can automate sales processes and track customer interactions (E2).",0.1,0.4,0.5,0.0
cproduct,41,"Possessing knowledge of particular products or services relevant to the administrative role, including their features, benefits, pricing, and usage.","LLMs excel at providing quick access to and summarizing product information, significantly reducing research time (E1), and integrated knowledge bases can further streamline access and ensure consistency (E2).",0.05,0.6,0.35,0.0
cmotivat,41,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting the impact of LLMs, though they can offer some support in communication and feedback.",0.6,0.2,0.2,0.0
cthings,41,Keeping a close control over resources,LLM-powered applications integrating with existing inventory management and financial software can significantly improve resource tracking and control.,0.1,0.2,0.7,0.0
ccoach,41,Coaching the staff whom you manage,"While coaching involves interpersonal aspects, LLMs can assist with generating feedback, suggesting training resources, and tracking progress.",0.4,0.3,0.3,0.0
ccareers,41,Developing the careers of the staff whom you manage,"LLMs can significantly assist in career development by identifying skill gaps, suggesting training opportunities, and creating development plans.",0.2,0.4,0.4,0.0
cfuture,41,Making strategic decisions about the future of your organisation,"LLMs can support strategic decision-making by analyzing data, summarizing information, and generating potential scenarios, but human judgment remains crucial.",0.2,0.3,0.5,0.0
cteach,42,"Instructing, training, or teaching people, individually or in groups","While LLMs could assist in preparing training materials or answering questions, secretarial roles rarely involve formal training, limiting the potential for significant time reduction.",0.7,0.2,0.1,0.0
cspeech,42,Making speeches or presentations,"Secretaries might use LLMs to draft speeches or presentations, but the task itself is not frequent enough for substantial time savings in most roles.",0.6,0.3,0.1,0.0
cpersuad,42,Persuading or influencing others,"While LLMs could help craft persuasive messages, the core of persuasion relies on interpersonal skills and context, limiting LLM impact in secretarial roles.",0.8,0.15,0.05,0.0
cteamwk,42,Working with a team of people in a secretarial or administrative role.,"Teamwork in this context relies heavily on interpersonal communication and coordination, where LLMs offer limited direct time savings.",0.7,0.2,0.1,0.0
clisten,42,"Listening carefully to colleagues in a secretarial or administrative setting to understand instructions, requests, or concerns.","Listening is a fundamental human skill, and while LLMs might eventually assist with comprehension or summarization, current capabilities offer minimal time reduction.",0.9,0.1,0.0,0.0
ccoop,42,"Cooperating with colleagues in a secretarial or administrative role to achieve shared goals, often involving information sharing, task delegation, and collaborative problem-solving.","While LLMs can facilitate some aspects of cooperation (e.g., scheduling, information sharing), the core of cooperation relies on interpersonal dynamics and communication, limiting direct time savings.",0.6,0.25,0.15,0.0
cwrite,42,"Writing material such as forms, notices, or signs in a secretarial or clerical role.","While simple forms might see less impact, LLMs can automate filling and generating notices/signs, especially with integrated applications.",0.2,0.4,0.4,0.0
cwritesh,42,"Writing short documents (for example, short reports, letters, or emails) in a secretarial or clerical role.","LLMs excel at generating short documents, offering substantial time savings through direct use and integrated applications.",0.1,0.6,0.3,0.0
cwritelg,42,"Writing long documents with correct spelling and grammar (for example, long reports, manuals, articles, or books) in a secretarial or clerical role.","LLMs can significantly assist with drafting and editing long documents, but human oversight remains important for quality and accuracy.",0.1,0.5,0.4,0.0
cread,42,"Reading written information such as forms, notices, or signs in a secretarial or clerical context.","Reading short, simple texts like forms or signs offers minimal potential for LLM-driven time savings, as the task is already quick and straightforward.",0.9,0.05,0.05,0.0
cshort,42,"Reading short documents such as short reports, letters, or emails in a secretarial or clerical context.","LLMs can assist with summarizing and key information extraction from short documents, potentially offering moderate time savings, especially when integrated with email or document management systems.",0.5,0.3,0.2,0.0
clong,42,"Reading long documents such as long reports, manuals, articles, or books in a secretarial or clerical context.","LLMs excel at summarizing and extracting key information from lengthy documents, offering substantial potential time savings, particularly when integrated with document management or research tools.",0.2,0.4,0.4,0.0
canalyse,42,Analyzing complex problems in depth in a secretarial or administrative context.,"While LLMs can assist with information gathering and summarizing, many complex problems in this occupation involve interpersonal dynamics or office-specific procedures where LLMs have limited impact.",0.4,0.3,0.3,0.0
cfaults,42,"Spotting problems or faults in a secretarial or administrative context, such as errors in documents, scheduling conflicts, or procedural inconsistencies.","Many problems encountered in this occupation require direct observation or familiarity with specific office procedures, limiting the impact of LLMs.",0.6,0.2,0.2,0.0
ccause,42,"Working out the cause of problems or faults in a secretarial or administrative context, such as identifying the source of errors, scheduling conflicts, or procedural inconsistencies.","Determining the cause of problems often relies on experience and knowledge of specific office environments, limiting the direct applicability of LLMs.",0.7,0.15,0.15,0.0
csolutn,42,"Thinking of solutions to problems in a secretarial or administrative context, such as resolving scheduling conflicts, correcting errors, or improving office procedures.","While LLMs can offer suggestions, many solutions in this context require human judgment and consideration of office-specific factors.",0.5,0.25,0.25,0.0
cspecial,42,"Utilizing specialized knowledge or understanding within the context of secretarial and related occupations, such as medical or legal terminology, office procedures, or specific software applications.","While some specialized knowledge will remain essential (E0), LLMs can significantly aid in accessing and applying this knowledge directly (E1) and through integrated applications (E2), but image processing is not relevant (E3).",0.2,0.4,0.4,0.0
cupto,42,"Keeping up-to-date with new knowledge and applying it to tasks within secretarial and related occupations, such as learning new software features, updated office procedures, or changes in relevant regulations.","LLMs can significantly reduce time spent on research and training for new knowledge (E1), with further potential through integrated learning platforms (E2), while some hands-on learning may still be necessary (E0) and image processing is not relevant (E3).",0.1,0.6,0.3,0.0
cideas,42,"Developing new or improved work processes, products, or services within the context of secretarial and related occupations, such as streamlining filing systems, improving communication protocols, or creating more efficient scheduling methods.","While human input remains crucial for evaluating and implementing new ideas (E0), LLMs can significantly assist in generating and refining these ideas directly (E1) and through integrated workflow tools (E2), but image processing is not relevant (E3).",0.3,0.4,0.3,0.0
cstats,42,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While LLMs could assist with complex calculations, existing tools like spreadsheets and statistical software are generally sufficient for the level of statistical analysis required in secretarial roles.",0.7,0.2,0.1,0.0
ccalca,42,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Basic arithmetic is efficiently handled by calculators and spreadsheets, leaving minimal room for LLM impact.",0.9,0.05,0.05,0.0
cpercent,42,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide efficient solutions for these calculations, limiting the potential for significant time reduction from LLMs.",0.85,0.1,0.05,0.0
cstrength,42,"Carrying, pushing or pulling heavy objects",This task is entirely physical and LLMs offer no assistance.,1.0,0.0,0.0,0.0
cstamina,42,Working for long periods on physical activities,Physical stamina is not impacted by LLMs.,1.0,0.0,0.0,0.0
chands,42,"Mending, repairing, assembling, constructing or adjusting things","While LLMs could potentially provide instructions (E1), the physical nature of these tasks in a secretarial context limits LLM impact.",0.9,0.1,0.0,0.0
ctools,42,"Knowledge of how to use or operate tools, equipment or machinery","LLMs can provide instructions and tutorials for using office equipment (E1), and integration with office software could further enhance efficiency (E2).",0.2,0.6,0.2,0.0
cplanme,42,Planning your own activities as a secretary or administrative assistant.,"While basic planning relies on personal judgment, LLMs can assist directly with scheduling and prioritization, and LLM-powered apps could significantly streamline time management.",0.2,0.3,0.5,0.0
cplanoth,42,"Planning the activities of others, such as managers or executives, in a secretarial or administrative role.",LLM-powered scheduling and communication tools could significantly reduce the time spent on coordinating and managing the activities of others.,0.1,0.2,0.7,0.0
cmytime,42,Organizing one's own time effectively as a secretary or administrative assistant.,"LLMs can offer direct assistance with time blocking and prioritization, while integrated apps could further automate scheduling and reminder tasks.",0.15,0.25,0.6,0.0
cahead,42,Thinking ahead and anticipating needs in a secretarial or administrative context.,"While experience and judgment are key, LLMs can assist by analyzing schedules and communications to predict potential conflicts or needs.",0.4,0.3,0.3,0.0
cimpl,42,Developing plans to put new ideas into practice within a secretarial or administrative role.,"LLMs can assist in brainstorming, outlining steps, and creating implementation timelines, but human oversight remains crucial.",0.25,0.35,0.4,0.0
cmefeel,42,"Managing your own feelings in the context of secretarial and related occupations involves regulating emotional responses to workplace stressors, maintaining composure during interactions with colleagues and clients, and handling potentially sensitive or emotionally charged situations with professionalism.","Managing one's own feelings is a deeply personal and internal process, unlikely to be significantly impacted by LLMs, though some minimal direct guidance might be possible.",0.9,0.1,0.0,0.0
cothfeel,42,"Handling the feelings of other people in a secretarial role involves demonstrating empathy, actively listening to concerns, responding appropriately to emotional cues, and diffusing tense situations with professionalism and tact. This often requires understanding diverse perspectives, cultural sensitivities, and interpersonal dynamics within the workplace.","While human empathy remains crucial, LLMs could offer real-time suggestions for phrasing responses or navigating sensitive conversations, potentially reducing time spent formulating appropriate reactions.",0.6,0.3,0.1,0.0
clookprt,42,"Looking the part for secretarial and related occupations involves maintaining a professional appearance suitable for the workplace, adhering to dress codes, and presenting a polished and organized image to colleagues and clients. This contributes to a positive first impression and reflects the professionalism of the individual and the organization.","Looking the part relies on personal choices and physical appearance, with minimal potential for LLM impact, though some basic advice might be offered.",0.95,0.05,0.0,0.0
csoundprt,42,"Sounding the part in secretarial roles involves using clear, professional language, adapting communication style to different audiences, and conveying information effectively both verbally and in writing. This includes proper phone etiquette, email communication, and in-person interactions, ensuring that messages are understood and that a professional image is projected.","LLMs can directly improve written communication and suggest better phrasing for emails or other correspondence, leading to significant time savings; further integration with communication tools could enhance these benefits.",0.2,0.6,0.2,0.0
cpeople,42,"Dealing with people in a secretarial or administrative role, which includes communication, scheduling, and providing information.","While LLMs can assist with communication and scheduling, the interpersonal aspects of dealing with people still require human interaction, limiting potential time savings.",0.4,0.3,0.3,0.0
ccaring,42,"Counselling, advising, or caring for customers or clients in a secretarial or administrative context, often involving providing information, guidance, or emotional support.","Counselling and caring require empathy and nuanced understanding, limiting the impact of LLMs; however, they can assist with information retrieval and basic guidance.",0.6,0.2,0.2,0.0
cselling,42,"Selling a product or service in a secretarial or administrative role, which may involve answering inquiries, processing orders, or providing basic product information.","LLMs can significantly assist with providing product information and answering inquiries, potentially automating parts of the sales process.",0.2,0.4,0.4,0.0
cproduct,42,"Knowledge of particular products or services relevant to a secretarial or administrative role, required for answering questions, providing information, and supporting sales or customer service.","LLMs excel at providing and summarizing product information, potentially significantly reducing time spent on research and information retrieval.",0.1,0.6,0.3,0.0
cmotivat,42,Motivating the staff whom you manage or supervise,"Secretarial and related roles rarely involve extensive staff management responsibilities, limiting the potential impact of LLMs on motivation tasks, which are primarily interpersonal.",0.7,0.2,0.1,0.0
cthings,42,Keeping a close control over resources,"While existing tools already assist with resource tracking, LLMs integrated into specialized applications could enhance efficiency in inventory management, budget control, and scheduling for secretarial roles.",0.4,0.2,0.4,0.0
ccoach,42,Coaching the staff whom you manage,"Similar to motivation, coaching is primarily interpersonal and less frequent in secretarial roles, limiting the potential for significant LLM-driven time reduction.",0.7,0.2,0.1,0.0
ccareers,42,Developing the careers of the staff whom you manage,"Career development is less common within the scope of secretarial roles, making significant LLM impact unlikely.",0.8,0.1,0.1,0.0
cfuture,42,Making strategic decisions about the future of your organisation,"Strategic decision-making is rarely a primary function of secretarial roles, limiting the potential for LLM impact.",0.9,0.05,0.05,0.0
cteach,51,"Instructing, training, or teaching people, individually or in groups within the context of skilled agricultural and related trades.","While LLMs can assist with content creation and delivery (E1, E2), much of the teaching in this occupation is hands-on and practical, limiting LLM impact (E0); image recognition has limited applicability (E3).",0.4,0.3,0.25,0.05
cspeech,51,"Making speeches or presentations related to agricultural practices, products, or advocacy.","LLMs can significantly aid in drafting and refining speeches (E1), but delivery and audience interaction remain crucial (E0); specialized presentation software with LLM integration offers further potential (E2), while image generation has limited impact (E3).",0.2,0.6,0.15,0.05
cpersuad,51,"Persuading or influencing others, such as advocating for agricultural policies, promoting products, or negotiating sales.","LLMs can assist in crafting persuasive arguments and providing data-driven insights (E1), but interpersonal skills and relationship-building remain essential (E0); CRM systems with LLM integration could further enhance persuasion efforts (E2), while image processing has limited direct relevance (E3).",0.3,0.4,0.25,0.05
cteamwk,51,Working with a team of people in the context of skilled agricultural and related trades.,"Teamwork in agriculture relies heavily on in-person communication and coordination, limiting LLM impact.",0.9,0.05,0.05,0.0
clisten,51,Listening carefully to colleagues in the context of skilled agricultural and related trades.,Listening carefully is a fundamental human interaction with minimal potential for LLM enhancement in this context.,0.95,0.05,0.0,0.0
ccoop,51,Cooperating with colleagues in the context of skilled agricultural and related trades.,"Cooperation in agriculture often involves shared physical tasks and real-time adjustments, limiting LLM applicability.",0.9,0.05,0.05,0.0
cwrite,51,"Writing material such as forms, notices, or signs in the context of skilled agricultural and related trades.","LLMs can significantly assist with generating text for simple forms, notices, and signs, but some tasks may require specific formatting or handwritten elements.",0.2,0.6,0.2,0.0
cwritesh,51,"Writing short documents such as short reports, letters, or emails in the context of skilled agricultural and related trades.","LLMs excel at generating short documents, offering substantial time savings for tasks like writing reports, letters, and emails.",0.1,0.7,0.2,0.0
cwritelg,51,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books, in the context of skilled agricultural and related trades.","While LLMs can assist with drafting and editing long documents, significant human input is still required for content planning, research, and fact-checking in specialized agricultural topics.",0.2,0.5,0.3,0.0
cread,51,"Reading written information such as forms, notices, or signs in the context of skilled agricultural and related trades.","Reading short, simple texts like forms, notices, or signs offers minimal opportunity for LLM assistance, as the task is already quick and straightforward.",0.9,0.05,0.05,0.0
cshort,51,"Reading short documents such as short reports, letters, or emails in the context of skilled agricultural and related trades.","While LLMs could summarize or extract key information from short documents, the time savings might not consistently reach the 25% threshold for many tasks in this occupation.",0.7,0.15,0.15,0.0
clong,51,"Reading long documents such as long reports, manuals, articles, or books in the context of skilled agricultural and related trades.","LLMs can significantly reduce time spent reading long documents by summarizing key information, extracting relevant details, and answering specific questions, especially for research or learning new techniques.",0.4,0.3,0.3,0.0
canalyse,51,Analyzing complex problems in depth related to agriculture and related trades.,"While LLMs could provide some information, many agricultural problems require direct observation and experience, limiting LLM impact.",0.6,0.2,0.15,0.05
cfaults,51,Spotting problems or faults in agriculture and related trades.,"Visual identification remains crucial for spotting problems, but image recognition combined with LLMs could offer significant assistance.",0.4,0.1,0.3,0.2
ccause,51,Working out the cause of problems or faults in agriculture and related trades.,"LLMs can offer potential diagnoses, but hands-on investigation and experience are often essential for accurate diagnosis.",0.5,0.25,0.2,0.05
csolutn,51,Thinking of solutions to problems in agriculture and related trades.,"LLMs can provide information on best practices and potential solutions, but practical experience and specific context remain important.",0.4,0.3,0.25,0.05
cspecial,51,"Utilizing specialized knowledge or understanding related to agriculture, horticulture, or related fields.","While experience remains crucial, LLMs can provide quick access to relevant information and best practices, potentially reducing research time.",0.2,0.4,0.35,0.05
cupto,51,Keeping up-to-date with new knowledge and applying it to agricultural or related practices.,"LLMs can significantly assist in staying current with research, regulations, and best practices, reducing time spent on literature reviews and information gathering.",0.1,0.5,0.35,0.05
cideas,51,"Developing new or improved work processes, products, or services within agriculture, horticulture, or related fields.","LLMs can aid in brainstorming and researching new techniques, but practical implementation and field testing still require significant time.",0.25,0.4,0.3,0.05
cstats,51,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While some advanced calculations might benefit from LLM-powered tools (E1 and E2), many routine calculations are already efficiently handled by existing tools (E0), and image processing is not relevant (E3).",0.6,0.2,0.2,0.0
ccalca,51,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Basic arithmetic is already efficiently handled by calculators and computers (E0), with minimal room for LLM impact (E1 and E2), and no relevance for image processing (E3).",0.9,0.05,0.05,0.0
cpercent,51,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs (E1 and E2), and image processing is not relevant (E3).",0.85,0.1,0.05,0.0
cstrength,51,"Carrying, pushing, or pulling heavy objects","This task is primarily physical, with minimal potential for LLM impact except perhaps through E2 applications like robotic assistance or exoskeletons.",0.95,0.0,0.05,0.0
cstamina,51,Working for long periods on physical activities,"Like strength-based tasks, stamina is inherently physical, limiting direct LLM impact, though E2 applications (e.g., robotic assistance) could offer some future potential.",0.95,0.0,0.05,0.0
chands,51,"Mending, repairing, assembling, constructing, or adjusting things","While primarily hands-on, LLMs could offer some guidance (E1) or integrate with AR tools (E2) for repairs or assembly, and image recognition (E3) might assist in diagnostics.",0.7,0.05,0.2,0.05
ctools,51,"Knowledge of how to use or operate tools, equipment, or machinery","LLMs could provide instructions or troubleshooting (E1), integrate with AR for real-time guidance (E2), or use image recognition for equipment diagnostics (E3), but hands-on experience remains crucial.",0.6,0.15,0.2,0.05
cplanme,51,"Planning one's own activities in the context of skilled agricultural and related trades, such as scheduling planting, harvesting, equipment maintenance, or animal care.","While basic scheduling could be aided by LLMs, much of the planning relies on direct experience, weather conditions, and unpredictable factors, limiting LLM impact.",0.7,0.2,0.1,0.0
cplanoth,51,"Planning the activities of others (e.g., farmhands, seasonal workers) in skilled agricultural and related trades, involving assigning tasks, scheduling work shifts, and coordinating resources.","LLMs could assist with basic scheduling and task assignment, but practical considerations and on-the-ground adjustments limit significant time reduction.",0.6,0.25,0.15,0.0
cmytime,51,"Organizing one's own time effectively within the context of skilled agricultural and related trades, balancing various tasks like planting, harvesting, animal care, and equipment maintenance.","Time management in agriculture is heavily influenced by external factors (weather, animal needs) and often requires real-time adjustments, limiting LLM impact.",0.75,0.15,0.1,0.0
cahead,51,"Thinking ahead and anticipating future needs in skilled agricultural and related trades, such as predicting crop yields, planning for seasonal changes, or anticipating equipment maintenance requirements.","LLMs could provide valuable insights for forecasting and planning based on historical data and best practices, but practical experience remains crucial.",0.5,0.3,0.2,0.0
cimpl,51,"Developing plans to put new ideas into practice in skilled agricultural and related trades, such as implementing new irrigation techniques, adopting new crop varieties, or integrating new technologies.","LLMs can assist with research and planning for new implementations, but practical execution and on-site adjustments remain significant factors.",0.6,0.2,0.2,0.0
cmefeel,51,Managing your own feelings in the context of skilled agricultural and related trades.,"Managing one's feelings in this occupation relies primarily on personal coping mechanisms and social support, with minimal impact from LLMs.",0.9,0.05,0.05,0.0
cothfeel,51,Handling the feelings of other people in the context of skilled agricultural and related trades.,"While LLMs could offer some communication tips, handling others' feelings primarily relies on interpersonal skills and empathy, with limited LLM impact.",0.85,0.1,0.05,0.0
clookprt,51,Looking the part in the context of skilled agricultural and related trades.,"Looking the part involves wearing appropriate attire and maintaining a professional appearance, which is largely unaffected by LLMs, except perhaps for some specialized apps (E2).",0.95,0.0,0.05,0.0
csoundprt,51,Sounding the part in the context of skilled agricultural and related trades.,"Sounding the part involves clear communication and professional language, where LLMs could offer minor assistance, but the core skills remain human-driven.",0.9,0.05,0.05,0.0
cpeople,51,"Dealing with people in the context of skilled agricultural and related trades, such as interacting with customers, suppliers, or colleagues.","While LLMs could offer some communication assistance (E1) or CRM enhancements (E2), much of the interpersonal interaction in this occupation relies on in-person communication and practical demonstrations, limiting LLM impact (E0).",0.7,0.2,0.1,0.0
ccaring,51,"Counselling, advising, or caring for customers or clients in the context of skilled agricultural and related trades, such as providing advice on plant care, livestock management, or landscaping.","LLMs can provide information and support (E1), and specialized apps could further enhance advisory services (E2), but practical experience and in-person assessment remain crucial (E0).",0.5,0.3,0.2,0.0
cselling,51,"Selling a product or service related to skilled agricultural and related trades, such as selling produce, livestock, or landscaping services.","LLMs can assist with marketing and sales communications (E1), and integrated CRM systems could further streamline sales processes (E2), but building trust and demonstrating expertise often require in-person interaction (E0).",0.4,0.3,0.3,0.0
cproduct,51,"Knowledge of particular products or services related to skilled agricultural and related trades, such as understanding different types of crops, livestock breeds, or landscaping materials.","LLMs excel at providing quick access to detailed product information (E1), and specialized apps could offer tailored recommendations or diagnostic tools (E2), reducing reliance on memory and manual research (E0).",0.2,0.5,0.3,0.0
cmotivat,51,Motivating the staff whom you manage or supervise,"Motivating staff in agricultural settings relies heavily on interpersonal skills and direct communication, limiting LLM impact, though they might offer some support.",0.7,0.2,0.1,0.0
cthings,51,Keeping a close control over resources,"While direct LLM use might offer some benefit, specialized agricultural management software powered by LLMs could significantly improve resource tracking and control.",0.2,0.2,0.6,0.0
ccoach,51,Coaching the staff whom you manage,"Coaching relies on practical demonstration and personal interaction, limiting LLM impact, though they could provide some helpful resources or training materials.",0.6,0.3,0.1,0.0
ccareers,51,Developing the careers of the staff whom you manage,"LLMs could directly assist in identifying training opportunities and career paths, but practical experience and mentorship remain crucial.",0.5,0.4,0.1,0.0
cfuture,51,Making strategic decisions about the future of your organisation,"LLMs can assist in analyzing market trends and generating strategic options, and specialized agricultural planning tools could further enhance decision-making.",0.3,0.3,0.4,0.0
